Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-0.860128,37.409145,-0.694368,9.387295,0.632224,0,,,,,0.165771,-0.123215
-0.859375,37.892113,-0.692861,9.387232,0.639761,0,,,,,0.166525,-0.123214
-0.858621,38.36504,-0.691354,9.387121,0.647298,0,,,,,0.167278,-0.123212
-0.857868,38.82254,-0.689847,9.387109,0.654835,0,,,,,0.168032,-0.123211
-0.857114,39.262283,-0.68834,9.387087,0.662372,0,,,,,0.168785,-0.12321
-0.856361,39.664341,-0.686833,9.387113,0.669909,0,,,,,0.169538,-0.123208
-0.855607,40.022251,-0.685326,9.387144,0.677445,0,,,,,0.170292,-0.123207
-0.854854,40.333614,-0.683819,9.387095,0.684982,0,,,,,0.171046,-0.123205
-0.8541,40.576439,-0.682312,9.386997,0.692519,0,,,,,0.171799,-0.123204
-0.853347,40.735764,-0.680805,9.386922,0.700056,0,,,,,0.172553,-0.123203
-0.852593,40.808876,-0.679298,9.386867,0.707593,0,,,,,0.173306,-0.123201
-0.85184,40.795788,-0.677791,9.386837,0.71513,0,,,,,0.17406,-0.1232
-0.851086,40.696548,-0.676284,9.386879,0.722667,0,,,,,0.174813,-0.123199
-0.850333,40.516548,-0.674777,9.38685,0.730204,0,,,,,0.175567,-0.123197
-0.849579,40.260448,-0.67327,9.38678,0.737741,0,,,,,0.17632,-0.123196
-0.848826,39.936172,-0.671763,9.386729,0.745278,0,,,,,0.177074,-0.123194
-0.848072,39.547081,-0.670256,9.386709,0.752815,0,,,,,0.177827,-0.123193
-0.847319,39.118168,-0.668749,9.386707,0.760352,0,,,,,0.178581,-0.123192
-0.846565,38.648445,-0.667242,9.386665,0.767889,0,,,,,0.179334,-0.12319
-0.845812,38.1586,-0.665735,9.386566,0.775425,0,,,,,0.180088,-0.123189
-0.845058,37.649963,-0.664228,9.386511,0.782962,0,,,,,0.180841,-0.123187
-0.844305,37.122749,-0.662721,9.386482,0.790499,0,,,,,0.181595,-0.123185
-0.843551,36.582214,-0.661214,9.386525,0.798036,0,,,,,0.182348,-0.123183
-0.842798,36.035717,-0.659707,9.386527,0.805573,0,,,,,0.183102,-0.123181
-0.842044,35.49297,-0.6582,9.386568,0.81311,0,,,,,0.183855,-0.123179
-0.841291,34.951832,-0.656693,9.386575,0.820647,0,,,,,0.184609,-0.123177
-0.840537,34.417633,-0.655187,9.38655,0.828184,0,,,,,0.185362,-0.123175
-0.839784,33.889957,-0.653679,9.386555,0.835721,0,,,,,0.186116,-0.123173
-0.83903,33.367889,-0.652173,9.386556,0.843258,0,,,,,0.186869,-0.123171
-0.838277,32.851662,-0.650666,9.386559,0.850795,0,,,,,0.187623,-0.123169
-0.837523,32.34911,-0.649159,9.386606,0.858332,0,,,,,0.188376,-0.123166
-0.83677,31.862116,-0.647652,9.38656,0.865869,0,,,,,0.18913,-0.123165
-0.836016,31.398785,-0.646145,9.386432,0.873405,0,,,,,0.189883,-0.123164
-0.835263,30.969477,-0.644638,9.386408,0.880942,0,,,,,0.190637,-0.123162
-0.834509,30.573765,-0.643131,9.386374,0.888479,0,,,,,0.19139,-0.123161
-0.833756,30.159025,-0.641624,9.38635,0.896016,0,,,,,0.192144,-0.123159
-0.833002,29.729639,-0.640117,9.386354,0.903553,0,,,,,0.192897,-0.123158
-0.832249,29.30512,-0.63861,9.386327,0.91109,0,,,,,0.193651,-0.123157
-0.831495,28.890596,-0.637103,9.386294,0.918627,0,,,,,0.194404,-0.123155
