Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
-0.811371,1.465715,-0.59706,16.461313,1.117908,0,,,,,,,0.214311,-1.311795
-0.810541,1.447512,-0.595399,16.461353,1.126217,0,,,,,,,0.215142,-1.311795
-0.80971,1.430391,-0.593737,16.461359,1.134525,0,,,,,,,0.215973,-1.311795
-0.808879,1.41371,-0.592076,16.461346,1.142834,0,,,,,,,0.216803,-1.311795
-0.808049,1.396937,-0.590415,16.461374,1.151142,0,,,,,,,0.217634,-1.311795
-0.807218,1.380209,-0.588753,16.461384,1.159451,0,,,,,,,0.218464,-1.311795
-0.806387,1.364782,-0.587092,16.461355,1.167759,0,,,,,,,0.219295,-1.311795
-0.805557,1.34962,-0.585431,16.461336,1.176068,0,,,,,,,0.220126,-1.311795
-0.804726,1.333875,-0.583769,16.461384,1.184376,0,,,,,,,0.220957,-1.311795
-0.803895,1.318314,-0.582108,16.461454,1.192685,0,,,,,,,0.221787,-1.311795
-0.803065,1.303302,-0.580447,16.461548,1.200993,0,,,,,,,0.222618,-1.311795
-0.802234,1.288985,-0.578785,16.46163,1.209302,0,,,,,,,0.223449,-1.311795
-0.801403,1.275492,-0.577124,16.461666,1.21761,0,,,,,,,0.224279,-1.311795
